trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-122.49369718397449,"{0: 19, 1: 0, 2: 3, 3: 0, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.9999875000260416}",35,0,-203.8438374731634,"{0: 22, 1: 2, 2: 6, 3: 2, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.9999500004166653}",30,21,-24.180672041446908,"{0: 6, 1: 1, 2: 1, 3: 1, 4: 0}",1
4,False,"{'a': 0.5, 'e': 0.9998875021093592}",20,0,-55.78176779034185,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",1
5,False,"{'a': 0.5, 'e': 0.9998000066665778}",25,0,-144.62779498750814,"{0: 15, 1: 1, 2: 6, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.9996875162757026}",30,0,-120.18907941197888,"{0: 16, 1: 5, 2: 7, 3: 2, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.9995500337489875}",20,0,-89.41299112641406,"{0: 10, 1: 4, 2: 4, 3: 2, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.9993875625234886}",20,0,-74.38101261933356,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.9992001066609779}",35,18,-65.22800217427805,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 2}",1
10,False,"{'a': 0.5, 'e': 0.9989876708478425}",20,0,-147.08546524737994,"{0: 8, 1: 3, 2: 6, 3: 2, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.9987502603949663}",30,0,-117.35122373337951,"{0: 21, 1: 2, 2: 4, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.9984878812375985}",30,0,-73.47229679778367,"{0: 20, 1: 7, 2: 2, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.9982005399352042}",20,0,-86.01330322501211,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.9978882436713011}",25,0,-232.28335817886568,"{0: 13, 1: 1, 2: 6, 3: 1, 4: 4}",0
15,False,"{'a': 0.5, 'e': 0.9975510002532796}",20,0,-201.04378852168458,"{0: 9, 1: 2, 2: 4, 3: 2, 4: 3}",0
16,False,"{'a': 0.5, 'e': 0.9971888181122075}",30,0,-216.98237850118662,"{0: 16, 1: 3, 2: 6, 3: 2, 4: 3}",0
17,False,"{'a': 0.5, 'e': 0.9968017063026194}",25,0,-24.230032607471358,"{0: 21, 1: 0, 2: 3, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.9963896745022904}",20,0,-70.68050599751751,"{0: 13, 1: 2, 2: 2, 3: 3, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.9959527330119943}",25,0,-85.22539411979128,"{0: 19, 1: 0, 2: 4, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.9954908927552453}",25,0,-94.06906879321616,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
21,False,"{'a': 0.5, 'e': 0.9950041652780258}",25,0,-105.28945891759678,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
22,False,"{'a': 0.5, 'e': 0.9944925627484974}",25,0,-161.6471761200896,"{0: 12, 1: 5, 2: 5, 3: 1, 4: 2}",0
23,False,"{'a': 0.5, 'e': 0.9939560979566968}",20,0,-94.34997373673747,"{0: 10, 1: 5, 2: 4, 3: 0, 4: 1}",0
24,False,"{'a': 0.5, 'e': 0.9933947843142158}",20,0,-30.047083063187557,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
25,False,"{'a': 0.5, 'e': 0.9928086358538663}",30,10,-80.76552653831489,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",1
26,False,"{'a': 0.5, 'e': 0.992197667229329}",30,0,-162.3400072997806,"{0: 17, 1: 3, 2: 7, 3: 1, 4: 2}",0
27,False,"{'a': 0.5, 'e': 0.9915618937147881}",20,0,-70.45684273173374,"{0: 12, 1: 3, 2: 3, 3: 2, 4: 0}",0
28,False,"{'a': 0.5, 'e': 0.9909013312045479}",25,0,-69.24859437642206,"{0: 16, 1: 2, 2: 7, 3: 0, 4: 0}",0
29,False,"{'a': 0.5, 'e': 0.9902159962126371}",20,0,-74.1560935091443,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
30,False,"{'a': 0.5, 'e': 0.9895059058723947}",20,0,-144.9378609302448,"{0: 9, 1: 1, 2: 7, 3: 2, 4: 1}",0
31,False,"{'a': 0.5, 'e': 0.9887710779360422}",20,0,-159.3201478653799,"{0: 11, 1: 1, 2: 5, 3: 0, 4: 3}",0
32,False,"{'a': 0.5, 'e': 0.9880115307742399}",35,2,-165.50233204273277,"{0: 21, 1: 2, 2: 7, 3: 0, 4: 3}",1
33,False,"{'a': 0.5, 'e': 0.9872272833756269}",30,3,-158.35957888165422,"{0: 17, 1: 1, 2: 4, 3: 3, 4: 2}",1
34,False,"{'a': 0.5, 'e': 0.9864183553463477}",25,0,-59.57803732154976,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 0}",0
35,False,"{'a': 0.5, 'e': 0.9855847669095608}",25,0,-101.4154186058036,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 1}",0
36,False,"{'a': 0.5, 'e': 0.9847265389049334}",35,0,-190.75915439276682,"{0: 21, 1: 5, 2: 5, 3: 1, 4: 3}",0
37,False,"{'a': 0.5, 'e': 0.9838436927881214}",20,0,-153.77294748258532,"{0: 7, 1: 4, 2: 6, 3: 2, 4: 1}",0
38,False,"{'a': 0.5, 'e': 0.9829362506302315}",25,0,-97.7735193753154,"{0: 14, 1: 3, 2: 6, 3: 2, 4: 0}",0
39,False,"{'a': 0.5, 'e': 0.9820042351172703}",25,0,-100.01639477798116,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
40,False,"{'a': 0.5, 'e': 0.9810476695495772}",30,0,-205.870408537478,"{0: 15, 1: 4, 2: 8, 3: 0, 4: 3}",0
41,False,"{'a': 0.5, 'e': 0.9800665778412416}",25,9,-60.779777993157914,"{0: 11, 1: 0, 2: 4, 3: 0, 4: 1}",1
42,False,"{'a': 0.5, 'e': 0.9790609845195051}",25,0,-93.45662089336672,"{0: 16, 1: 4, 2: 3, 3: 1, 4: 1}",0
43,False,"{'a': 0.5, 'e': 0.9780309147241483}",20,0,-147.71533735514979,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
44,False,"{'a': 0.5, 'e': 0.9769763942068623}",20,0,-54.59071777542517,"{0: 13, 1: 0, 2: 7, 3: 0, 4: 0}",0
45,False,"{'a': 0.5, 'e': 0.9758974493306055}",30,0,-70.23250386685666,"{0: 22, 1: 2, 2: 5, 3: 0, 4: 1}",0
46,False,"{'a': 0.5, 'e': 0.9747941070689433}",20,0,-74.09366857418944,"{0: 11, 1: 3, 2: 5, 3: 1, 4: 0}",0
47,False,"{'a': 0.5, 'e': 0.9736663950053749}",20,0,-90.0585593289966,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
