trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-48.576574195862825,"{0: 15, 1: 0, 2: 3, 3: 2, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",30,0,-99.57274374765719,"{0: 19, 1: 6, 2: 3, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",30,0,-165.14445390409787,"{0: 18, 1: 0, 2: 9, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-108.690909396884,"{0: 9, 1: 4, 2: 6, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-184.59877299299202,"{0: 17, 1: 0, 2: 4, 3: 0, 4: 4}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-148.04571289624778,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 3}",0
7,False,"{'a': 0.5, 'e': 1.0}",30,0,-196.6205179552644,"{0: 12, 1: 5, 2: 9, 3: 3, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-193.9939633419352,"{0: 15, 1: 2, 2: 4, 3: 0, 4: 4}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-87.22353524123938,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-164.2136443158336,"{0: 10, 1: 1, 2: 5, 3: 2, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",30,0,-45.76005648417885,"{0: 25, 1: 0, 2: 4, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-65.10564719383352,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",35,0,-219.62446011749472,"{0: 23, 1: 1, 2: 6, 3: 1, 4: 4}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-153.9853157343506,"{0: 10, 1: 2, 2: 4, 3: 2, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-25.77055229037106,"{0: 18, 1: 5, 2: 2, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-101.72675115430323,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-61.51430017071301,"{0: 15, 1: 0, 2: 2, 3: 3, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-94.65034932971636,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",30,0,-211.60644740554608,"{0: 14, 1: 3, 2: 9, 3: 2, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-160.3962062683735,"{0: 8, 1: 2, 2: 6, 3: 3, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-50.871009069749,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-100.90000421488594,"{0: 13, 1: 3, 2: 8, 3: 1, 4: 0}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-127.45366306926061,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-125.77617795393694,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-181.6608971582529,"{0: 14, 1: 3, 2: 3, 3: 2, 4: 3}",0
6,True,"{'a': 0.5, 'e': 1.0}",30,0,-160.97055183466705,"{0: 21, 1: 0, 2: 5, 3: 1, 4: 3}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-94.78245859407991,"{0: 12, 1: 0, 2: 5, 3: 3, 4: 0}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-163.0347954465983,"{0: 12, 1: 3, 2: 6, 3: 3, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,5,-10.581012902483101,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 0}",1
10,True,"{'a': 0.5, 'e': 1.0}",25,11,-65.35281157022928,"{0: 8, 1: 0, 2: 5, 3: 1, 4: 0}",1
